SWV ITM Data Console - ITM Port: 0
51366,0.0209,5.264
51366,0.0209,5.264
51367,0.0209,5.262
51368,0.0209,5.264
51369,0.0226,5.264
51369,0.0209,5.260
51370,0.0209,5.270
51371,0.0209,5.270
51371,0.0209,5.266
51372,0.0209,5.264
51373,0.0209,5.264
51374,0.0209,5.260
51374,0.0209,5.260
51375,0.0209,5.260
51376,0.0209,5.264
51377,0.0209,5.262
51377,0.0209,5.262
51378,0.0209,5.272
51379,0.0209,5.262
51379,0.0209,5.262
51380,0.0209,5.248
51381,0.0209,5.262
51382,0.0226,5.262
51382,0.0209,5.264
51383,0.0209,5.264
51384,0.0209,5.264
51385,0.0209,5.264
51385,0.0209,5.264
51386,0.0209,5.264
51387,0.0209,5.270
51387,0.0209,5.266
51388,0.0209,5.266
51389,0.0193,5.262
51390,0.0209,5.262
51390,0.0226,5.272
51391,0.0209,5.266
51392,0.0209,5.266
51393,0.0209,5.268
51393,0.0226,5.262
51394,0.0209,5.262
51395,0.0226,5.268
51395,0.0209,5.270
51396,0.0209,5.270
51397,0.0226,5.262
51398,0.0209,5.264
51398,0.0226,5.264
51399,0.0226,5.264
51400,0.0226,5.254
51400,0.0209,5.254
51401,0.0226,5.260
51402,0.0209,5.266
51403,0.0209,5.266
51403,0.0209,5.268
51404,0.0209,5.266
51405,0.0209,5.266
51406,0.0226,5.266
51406,0.0226,5.258
51407,0.0209,5.258
51408,0.0209,5.264
51408,0.0226,5.266
51409,0.0209,5.266
51410,0.0209,5.262
51411,0.0226,5.262
51411,0.0209,5.262
51412,0.0209,5.268
51413,0.0209,5.266
51414,0.0209,5.266
51414,0.0209,5.260
51415,0.0209,5.264
51416,0.0209,5.264
51416,0.0209,5.264
51417,0.0209,5.268
51418,0.0209,5.268
51419,0.0226,5.262
51419,0.0226,5.262
51420,0.0226,5.252
51421,0.0209,5.260
51422,0.0209,5.260
51422,0.0209,5.264
51423,0.0209,5.266
51424,0.0209,5.266
51424,0.0209,5.266
51425,0.0209,5.272
51426,0.0209,5.272
51427,0.0209,5.266
51427,0.0209,5.266
51428,0.0209,5.266
51429,0.0209,5.268
51430,0.0209,5.260
51430,0.0209,5.260
51431,0.0209,5.268
51432,0.0226,5.264
51432,0.0209,5.264
51433,0.0209,5.270
51434,0.0209,5.264
51435,0.0226,5.264
51435,0.0209,5.272
51436,0.0209,5.262
51437,0.0209,5.262
51438,0.0209,5.262
51438,0.0209,5.258
51439,0.0226,5.258
51440,0.0209,5.254
51440,0.0209,5.254
51441,0.0209,5.254
51442,0.0209,5.272
51443,0.0226,5.268
51443,0.0209,5.268
51444,0.0209,5.264
51445,0.0209,5.268
51446,0.0226,5.268
51446,0.0209,5.268
51447,0.0209,5.268
51448,0.0209,5.266
51448,0.0209,5.268
51449,0.0226,5.268
51450,0.0209,5.262
51451,0.0226,5.274
51451,0.0209,5.274
51452,0.0209,5.272
51453,0.0209,5.262
51454,0.0209,5.262
51454,0.0209,5.270
51455,0.0209,5.270
51456,0.0209,5.270
51456,0.0209,5.260
51457,0.0209,5.264
51458,0.0209,5.264
51459,0.0209,5.264
51459,0.0209,5.254
51460,0.0209,5.254
51461,0.0209,5.250
51462,0.0226,5.268
51462,0.0209,5.268
51463,0.0226,5.264
51464,0.0209,5.260
51464,0.0209,5.260
51465,0.0226,5.264
51466,0.0209,5.270
51467,0.0209,5.270
51467,0.0226,5.262
51468,0.0209,5.270
51469,0.0209,5.270
51469,0.0209,5.260
51470,0.0209,5.270
51471,0.0209,5.270
51472,0.0209,5.274
51472,0.0209,5.272
51473,0.0226,5.272
51474,0.0209,5.272
51475,0.0209,5.266
51475,0.0226,5.266
51476,0.0226,5.268
51477,0.0209,5.268
51477,0.0209,5.262
51478,0.0209,5.264
51479,0.0209,5.264
51480,0.0209,5.262
51480,0.0209,5.250
51481,0.0209,5.250
51482,0.0209,5.268
51483,0.0209,5.266
51483,0.0209,5.266
51484,0.0209,5.270
51485,0.0209,5.270
51485,0.0209,5.270
51486,0.0209,5.276
51487,0.0209,5.272
51488,0.0209,5.272
51488,0.0209,5.272
51489,0.0209,5.256
51490,0.0209,5.256
51491,0.0226,5.274
51491,0.0209,5.270
51492,0.0209,5.270
51493,0.0209,5.274
51493,0.0226,5.262
51494,0.0209,5.262
51495,0.0226,5.260
51496,0.0209,5.270
51496,0.0209,5.270
51497,0.0226,5.268
51498,0.0226,5.270
51499,0.0209,5.270
51499,0.0209,5.260
51500,0.0209,5.250
51501,0.0209,5.250
51501,0.0209,5.264
51502,0.0209,5.262
51503,0.0209,5.262
51504,0.0209,5.272
51504,0.0209,5.268
51505,0.0209,5.268
51506,0.0209,5.266
51507,0.0209,5.266
51507,0.0209,5.266
51508,0.0209,5.266
51509,0.0209,5.266
51509,0.0209,5.262
51510,0.0209,5.270
51511,0.0209,5.270
51512,0.0209,5.270
51512,0.0209,5.266
51513,0.0209,5.266
51514,0.0209,5.270
51515,0.0209,5.266
51515,0.0209,5.266
51516,0.0209,5.270
51517,0.0226,5.264
51517,0.0226,5.264
51518,0.0226,5.266
51519,0.0226,5.266
