SWV ITM Data Console - ITM Port: 0
269,0.0097,-0.004
270,0.0113,-0.012
271,0.0097,-0.012
272,0.0113,-0.010
272,0.0097,-0.014
273,0.0113,-0.014
274,0.0097,-0.008
274,0.0113,-0.010
275,0.0113,-0.010
276,0.0113,-0.012
277,0.0097,-0.008
277,0.0113,-0.008
278,0.0113,-0.006
279,0.0113,-0.006
279,0.0097,-0.006
280,0.0113,-0.008
281,0.0113,-0.008
281,0.0113,-0.006
282,0.0097,-0.004
283,0.0097,-0.004
284,0.0097,-0.006
284,0.0097,-0.008
285,0.0097,-0.008
286,0.0113,-0.006
286,0.0097,-0.004
287,0.0113,-0.004
288,0.0113,-0.006
289,0.0097,-0.002
289,0.0097,-0.002
290,0.0113,-0.008
291,0.0097,-0.004
291,0.0097,-0.004
292,0.0097,-0.002
293,0.0097,-0.002
294,0.0113,-0.006
294,0.0113,-0.002
295,0.0097,-0.002
296,0.0097,-0.008
296,0.0113,0.000
297,0.0097,0.000
298,0.0113,-0.006
299,0.0097,-0.008
299,0.0097,-0.008
300,0.0113,-0.006
301,0.0097,-0.006
301,0.0113,-0.002
302,0.0097,-0.004
303,0.0097,-0.004
303,0.0097,-0.002
304,0.0097,-0.004
305,0.0097,-0.004
306,0.0113,-0.002
306,0.0097,-0.010
307,0.0097,-0.010
308,0.0113,-0.008
308,0.0097,-0.006
309,0.0113,-0.006
310,0.0097,-0.008
311,0.0113,-0.008
311,0.0097,-0.008
312,0.0113,0.000
313,0.0113,0.000
313,0.0113,-0.002
314,0.0097,-0.006
315,0.0097,-0.006
316,0.0113,-0.004
316,0.0097,-0.008
317,0.0097,-0.008
318,0.0097,-0.008
318,0.0097,-0.006
319,0.0097,-0.006
320,0.0097,-0.008
321,0.0097,-0.008
321,0.0097,-0.006
322,0.0097,-0.004
323,0.0113,-0.004
323,0.0097,-0.008
324,0.0113,-0.012
325,0.0113,-0.012
325,0.0113,-0.010
326,0.0113,-0.002
327,0.0097,-0.002
328,0.0097,-0.008
328,0.0113,-0.004
329,0.0113,-0.004
330,0.0097,-0.008
330,0.0097,-0.006
331,0.0113,-0.006
332,0.0113,-0.002
333,0.0113,-0.002
333,0.0113,0.000
334,0.0097,-0.006
335,0.0097,-0.006
335,0.0097,-0.002
336,0.0097,-0.002
337,0.0097,-0.002
338,0.0113,-0.006
338,0.0097,-0.004
339,0.0097,-0.004
340,0.0097,-0.002
340,0.0113,-0.008
341,0.0097,-0.008
342,0.0097,0.000
343,0.0113,0.000
343,0.0097,-0.004
344,0.0097,-0.002
345,0.0113,-0.002
345,0.0097,-0.010
346,0.0113,-0.002
347,0.0113,-0.002
347,0.0113,-0.002
348,0.0097,-0.002
349,0.0097,-0.002
350,0.0097,-0.008
350,0.0097,-0.010
351,0.0113,-0.010
352,0.0097,-0.008
352,0.0097,-0.008
353,0.0113,-0.006
354,0.0113,-0.004
355,0.0113,-0.004
355,0.0097,-0.010
356,0.0097,-0.008
357,0.0097,-0.008
357,0.0097,-0.008
358,0.0097,-0.006
359,0.0097,-0.006
360,0.0113,-0.008
360,0.0097,-0.008
361,0.0113,-0.008
362,0.0113,-0.010
362,0.0097,-0.010
363,0.0097,-0.010
364,0.0097,-0.008
365,0.0097,-0.008
365,0.0097,-0.006
366,0.0113,-0.010
367,0.0097,-0.010
367,0.0113,-0.004
368,0.0097,-0.006
369,0.0097,-0.006
370,0.0097,-0.008
370,0.0113,-0.006
371,0.0097,-0.006
372,0.0097,-0.006
372,0.0097,-0.006
373,0.0097,-0.006
374,0.0097,-0.010
374,0.0097,-0.010
375,0.0097,-0.006
376,0.0113,-0.012
377,0.0097,-0.012
377,0.0097,-0.004
378,0.0097,-0.008
379,0.0097,-0.008
379,0.0097,-0.008
380,0.0097,-0.008
381,0.0113,-0.008
382,0.0113,-0.010
382,0.0097,-0.004
383,0.0097,-0.004
384,0.0097,0.000
384,0.0097,0.000
385,0.0113,-0.006
386,0.0113,-0.002
387,0.0113,-0.002
387,0.0097,-0.008
388,0.0097,-0.008
389,0.0097,-0.008
389,0.0097,-0.006
390,0.0097,-0.012
391,0.0097,-0.012
392,0.0113,-0.014
392,0.0113,-0.004
393,0.0097,-0.004
394,0.0113,-0.004
394,0.0097,-0.004
395,0.0113,-0.010
396,0.0097,-0.008
397,0.0097,-0.008
397,0.0097,-0.010
398,0.0097,-0.006
399,0.0113,-0.006
399,0.0097,-0.004
400,0.0097,-0.008
401,0.0097,-0.008
401,0.0097,-0.012
402,0.0097,-0.002
403,0.0097,-0.002
404,0.0097,-0.004
404,0.0097,-0.004
405,0.0097,-0.002
406,0.0097,-0.002
406,0.0113,-0.002
407,0.0113,-0.008
408,0.0097,-0.006
409,0.0097,-0.006
409,0.0097,-0.004
410,0.0097,-0.008
411,0.0097,-0.008
411,0.0113,-0.004
412,0.0097,-0.006
413,0.0097,-0.006
414,0.0097,-0.008
414,0.0097,-0.006
415,0.0097,-0.006
416,0.0097,-0.006
416,0.0113,-0.006
417,0.0097,-0.002
418,0.0097,-0.010
419,0.0097,-0.010
419,0.0113,-0.006
420,0.0097,-0.010
421,0.0097,-0.010
421,0.0097,-0.006
422,0.0113,-0.008
423,0.0097,-0.008
424,0.0113,-0.006
424,0.0113,-0.006
425,0.0097,-0.006
426,0.0097,-0.002
426,0.0097,-0.002
427,0.0113,-0.002
428,0.0097,-0.008
429,0.0113,-0.008
429,0.0113,-0.010
430,0.0113,-0.006
431,0.0097,-0.006
431,0.0097,-0.006
432,0.0113,-0.012
433,0.0097,-0.012
434,0.0097,-0.002
434,0.0097,-0.006
435,0.0097,-0.006
436,0.0097,-0.006
436,0.0097,-0.010
437,0.0097,-0.010
438,0.0113,0.000
438,0.0097,0.000
439,0.0097,-0.008
440,0.0097,-0.010
441,0.0097,-0.010
441,0.0097,-0.010
442,0.0097,-0.008
443,0.0097,-0.008
443,0.0097,-0.006
444,0.0097,-0.006
445,0.0097,-0.006
446,0.0113,-0.006
446,0.0097,-0.006
447,0.0097,0.002
448,0.0113,-0.006
448,0.0097,-0.006
449,0.0097,-0.008
450,0.0113,-0.006
451,0.0097,-0.006
451,0.0097,-0.006
452,0.0097,-0.008
453,0.0097,-0.008
453,0.0113,-0.008
454,0.0113,-0.006
455,0.0097,-0.006
455,0.0097,-0.006
456,0.0097,-0.002
457,0.0113,-0.002
458,0.0097,-0.006
458,0.0113,-0.006
459,0.0097,-0.010
460,0.0097,-0.008
460,0.0113,-0.008
461,0.0097,-0.008
462,0.0097,-0.008
463,0.0113,-0.008
463,0.0097,-0.010
464,0.0113,-0.004
465,0.0097,-0.004
465,0.0097,-0.002
466,0.0113,0.002
467,0.0097,0.002
468,0.0113,-0.004
468,0.0113,-0.004
469,0.0097,-0.006
470,0.0097,-0.006
470,0.0113,-0.006
471,0.0113,-0.012
472,0.0097,-0.010
473,0.0113,-0.010
473,0.0097,-0.008
474,0.0097,-0.008
475,0.0097,-0.008
475,0.0097,-0.004
476,0.0097,-0.004
477,0.0097,-0.004
478,0.0097,-0.004
478,0.0113,-0.004
479,0.0113,-0.006
480,0.0097,-0.008
480,0.0113,-0.008
481,0.0097,-0.004
482,0.0097,-0.002
483,0.0097,-0.002
483,0.0097,-0.002
484,0.0097,0.000
485,0.0113,0.000
485,0.0097,-0.006
486,0.0097,0.000
487,0.0097,0.000
487,0.0097,-0.004
488,0.0097,-0.004
489,0.0097,-0.006
490,0.0097,-0.010
490,0.0097,-0.010
491,0.0113,-0.004
492,0.0097,-0.008
492,0.0113,-0.008
493,0.0097,-0.010
494,0.0113,-0.006
494,0.0097,-0.006
495,0.0113,-0.002
496,0.0097,-0.008
497,0.0097,-0.008
497,0.0097,-0.002
498,0.0113,-0.002
499,0.0097,-0.004
499,0.0097,-0.006
500,0.0097,-0.006
501,0.0113,-0.008
502,0.0113,0.002
502,0.0113,0.002
503,0.0097,-0.002
504,0.0097,-0.010
504,0.0097,-0.010
505,0.0113,-0.002
506,0.0097,-0.002
507,0.0097,-0.002
507,0.0097,-0.004
508,0.0113,-0.004
509,0.0097,0.000
509,0.0097,-0.010
510,0.0097,-0.010
511,0.0097,-0.010
512,0.0097,-0.010
512,0.0097,-0.010
513,0.0097,-0.010
514,0.0097,-0.006
514,0.0097,-0.006
515,0.0113,-0.004
516,0.0097,0.000
516,0.0097,0.000
517,0.0097,-0.006
518,0.0097,-0.006
519,0.0097,-0.006
519,0.0113,-0.010
520,0.0097,-0.010
521,0.0097,-0.010
521,0.0097,-0.010
522,0.0097,-0.010
523,0.0113,-0.006
524,0.0113,-0.012
524,0.0097,-0.012
525,0.0097,-0.004
526,0.0113,-0.002
526,0.0097,-0.002
527,0.0097,-0.004
528,0.0113,-0.004
529,0.0097,-0.008
529,0.0097,-0.008
530,0.0113,-0.008
531,0.0097,-0.006
531,0.0097,-0.010
532,0.0113,-0.010
533,0.0097,-0.006
534,0.0097,-0.006
534,0.0097,-0.006
535,0.0113,-0.006
536,0.0113,-0.010
536,0.0113,-0.010
537,0.0113,-0.006
538,0.0097,-0.006
538,0.0097,-0.002
539,0.0097,-0.004
540,0.0097,-0.004
541,0.0113,-0.008
541,0.0097,-0.012
542,0.0097,-0.012
543,0.0113,-0.006
543,0.0097,-0.006
544,0.0113,-0.006
545,0.0113,-0.002
546,0.0113,-0.004
546,0.0113,-0.004
547,0.0113,-0.004
548,0.0097,-0.004
548,0.0097,-0.004
549,0.0097,-0.002
550,0.0097,-0.002
551,0.0113,-0.008
551,0.0097,-0.010
552,0.0097,-0.010
553,0.0097,-0.006
553,0.0097,-0.006
554,0.0097,-0.006
555,0.0113,-0.006
556,0.0097,-0.006
556,0.0113,-0.006
557,0.0113,-0.008
558,0.0097,-0.006
558,0.0097,-0.006
559,0.0113,-0.006
560,0.0097,-0.006
561,0.0097,-0.008
561,0.0113,-0.006
562,0.0097,-0.006
563,0.0097,-0.006
563,0.0097,-0.006
564,0.0113,-0.006
565,0.0097,-0.010
566,0.0097,-0.006
566,0.0113,-0.006
567,0.0097,-0.006
